"CODIGO_DANE_MPIO_HOSPEDAJE","PIB_Dep_2023","Poblacion_Total","MDM_Texto","Valor_Transito_Superior","Cobertura_Acueducto","Indice_Capacidad","Indice_Positivo"
"05001",231052.39,2616382.1,"Ciudades",47.24,96.75,1.55702561277044,0.85571159873708
"05002",231052.39,21520.3,"G4- Nivel Medio Bajo",20.23,15.67,-2.11288250917527,0.222059758556484
"05004",231052.39,2909.27,"G3- Nivel Medio",20.83,57.37,-1.25918542781715,0.369460376932886
"05030",231052.39,32461.01,"G2- Nivel Medio Alto",36.32,82.3,0.317283783958293,0.641655915305097
"05031",231052.39,27895.88,"G2- Nivel Medio Alto",29.56,60.49,-0.281847034928191,0.538209089585915
"05034",231052.39,46234.88,"G2- Nivel Medio Alto",46.73,62.21,0.483153411312786,0.670295213922611
"05040",231052.39,19727.74,"G4- Nivel Medio Bajo",15.22,36.71,-2.03239082520106,0.235957573426697
"05042",231052.39,28098.43,"G1- Nivel Alto",36.43,90.78,1.52605121494457,0.85036351275545
"05045",231052.39,131470.55,"G1- Nivel Alto",43.57,89.48,1.8157581042634,0.900384738745311
"05051",231052.39,32241.74,"G4- Nivel Medio Bajo",16.34,55.41,-1.72042834732669,0.289821482713774
"05055",231052.39,8075.31,"G4- Nivel Medio Bajo",30,31.93,-1.46214084843562,0.334417789631998
"05079",231052.39,56152.62,"G1- Nivel Alto",25.33,99.98,1.1768800700384,0.790075099215969
"05086",231052.39,6455.4,"G3- Nivel Medio",17.78,54.28,-1.43433360019752,0.339219030815957
"05088",231052.39,566504.17,"G1- Nivel Alto",43.07,97.84,1.91205106822307,0.917010826315356
"05091",231052.39,10943.52,"G3- Nivel Medio",46.51,100,0.449727304640714,0.664523812214712
"05113",231052.39,10069.07,"G4- Nivel Medio Bajo",35.94,99.01,-0.260144341500673,0.541956309181138
"05125",231052.39,8919.67,"G4- Nivel Medio Bajo",7.78,79.74,-1.74670704020897,0.285284164189961
"05129",231052.39,86128.43,"G1- Nivel Alto",46.36,100,2.08444168924312,0.94677604947885
"05138",231052.39,16421.22,"G4- Nivel Medio Bajo",15.72,73.49,-1.49227434310443,0.329214895250587
"05142",231052.39,4874.1,"G3- Nivel Medio",35.71,90.61,-0.148593606695501,0.561216826347796
"05145",231052.39,5000.79,"G3- Nivel Medio",19.4,55,-1.35429232888498,0.353039076760511
"05147",231052.39,52233.55,"G2- Nivel Medio Alto",43.01,80.54,0.581091358622981,0.687205326784977
"05148",231052.39,64314.2,"G1- Nivel Alto",39.19,99.2,1.76383353826564,0.891419365307674
"05154",231052.39,97851.7,"G1- Nivel Alto",45.55,78.34,1.74412151435338,0.888015857696408
"05172",231052.39,62282.93,"G2- Nivel Medio Alto",31.61,71.48,-0.0384623212969912,0.58023225925112
"05190",231052.39,10469.36,"G2- Nivel Medio Alto",45.78,81.65,0.716244557461246,0.710541080788747
"05197",231052.39,16600.36,"G3- Nivel Medio",29.05,54.84,-0.940226245514812,0.424532347699615
"05206",231052.39,5100.65,"G3- Nivel Medio",21.62,30.95,-1.59758733776176,0.311031395652738
"05212",231052.39,84257.57,"G1- Nivel Alto",51.5,90.22,2.16830838347728,0.961256598682127
"05237",231052.39,20406.5,"G1- Nivel Alto",16.67,67.62,0.347039232448316,0.646793535666314
"05250",231052.39,56354.95,"G2- Nivel Medio Alto",29.65,78.11,-0.0295474384910513,0.581771516286248
"05264",231052.39,12111.71,"G1- Nivel Alto",34.91,98.52,1.5695980612398,0.85788237654499
"05266",231052.39,248349.92,"G1- Nivel Alto",59.77,86.85,2.47758187510398,1.01465622357095
"05282",231052.39,26031.12,"G3- Nivel Medio",32.14,30.17,-1.15472868758841,0.387496034356952
"05284",231052.39,21954.75,"G4- Nivel Medio Bajo",27.5,94.22,-0.691796331036599,0.467426629309468
"05306",231052.39,6014.34,"G3- Nivel Medio",35.9,38.14,-0.880148559636036,0.434905451043329
"05308",231052.39,55950.98,"G1- Nivel Alto",40.87,96.2,1.79401665915233,0.896630828226289
"05313",231052.39,10834.48,"G4- Nivel Medio Bajo",22.54,48.3,-1.55318778065435,0.318697489769937
"05315",231052.39,7016.91,"G3- Nivel Medio",37.93,68.88,-0.359179933364686,0.524856675363947
"05318",231052.39,59759.41,"G1- Nivel Alto",40.84,61.99,1.31041031745672,0.813130631993595
"05321",231052.39,9068.47,"G1- Nivel Alto",37.5,59.22,1.12726246073256,0.781508048380556
"05360",231052.39,299395.45,"G1- Nivel Alto",50.02,99.34,2.23303694270182,0.972432728792742
"05364",231052.39,15562.57,"G3- Nivel Medio",20.53,62.52,-1.19952044107246,0.379762223025174
"05368",231052.39,14503.61,"G2- Nivel Medio Alto",31.88,35.28,-0.537182168799363,0.494122542439758
"05376",231052.39,70435.2,"G1- Nivel Alto",47.87,96.74,2.1036250145654,0.950088271198668
"05380",231052.39,77659.45,"G1- Nivel Alto",51.5,91.46,2.18579061017444,0.964275106162155
"05400",231052.39,23120.94,"G2- Nivel Medio Alto",47.08,82.07,0.778250766248586,0.721247165790104
"05440",231052.39,69946.74,"G1- Nivel Alto",37.13,65.57,1.20082578010115,0.794209601427336
"05467",231052.39,7085.57,"G3- Nivel Medio",39.73,31.48,-0.808810558293746,0.447222777342326
"05480",231052.39,15085.6,"G2- Nivel Medio Alto",24.04,28.4,-0.972414872805567,0.418974611037569
"05483",231052.39,10862.95,"G4- Nivel Medio Bajo",29.27,32.36,-1.48757224096988,0.330026767256988
"05490",231052.39,45579.27,"G4- Nivel Medio Bajo",20.13,67.03,-1.39309417434422,0.346339491931501
"05495",231052.39,27952.7,"G4- Nivel Medio Bajo",27.96,62.68,-1.11661983211759,0.394075966495268
"05501",231052.39,3377,"G2- Nivel Medio Alto",30.3,43.06,-0.495659909373086,0.501291838024184
"05541",231052.39,22640.78,"G2- Nivel Medio Alto",29.84,20.99,-0.826660741545937,0.444140737931674
"05576",231052.39,9247.93,"G3- Nivel Medio",32.1,88.45,-0.334789719265627,0.529067926308855
"05579",231052.39,42253.05,"G1- Nivel Alto",45.27,92.75,1.93520210175197,0.921008118484592
"05591",231052.39,19608.68,"G3- Nivel Medio",28.13,99.36,-0.352248701013548,0.526053432336623
"05604",231052.39,30550.75,"G1- Nivel Alto",16.98,47.84,0.0815435894279081,0.6009526597725
"05607",231052.39,25479.58,"G1- Nivel Alto",51.76,65.85,1.83594319648285,0.903869927039967
"05615",231052.39,146928.96,"G1- Nivel Alto",45.35,99.71,2.03677952126225,0.938546628075226
"05628",231052.39,9720.41,"G4- Nivel Medio Bajo",35.48,57.18,-0.869732915234724,0.43670383182624
"05631",231052.39,89693.44,"G1- Nivel Alto",51.96,100,2.32603779136941,0.988490394799194
"05647",231052.39,7700.2,"G4- Nivel Medio Bajo",18.03,40.05,-1.86407212900398,0.265019731943496
"05649",231052.39,17034.89,"G1- Nivel Alto",22.33,36.2,0.148246797446063,0.612469735705247
"05652",231052.39,6045.8,"G3- Nivel Medio",19.15,28.58,-1.73756208636733,0.286863145635156
"05656",231052.39,16547.97,"G1- Nivel Alto",28.79,50.45,0.627849779431344,0.695278705846426
"05660",231052.39,13839.88,"G3- Nivel Medio",31.25,27.94,-1.2245650218771,0.375437988143512
"05664",231052.39,23621.08,"G1- Nivel Alto",29.64,53.73,0.710763925689199,0.709594786687556
"05665",231052.39,33231.21,"G4- Nivel Medio Bajo",14.29,40.7,-2.01625974104938,0.238742790608484
"05667",231052.39,16666.83,"G3- Nivel Medio",56.57,39.09,0.0249935515977297,0.591188645431352
"05670",231052.39,23016.47,"G4- Nivel Medio Bajo",22.17,41.49,-1.66516164139434,0.299363915044802
"05679",231052.39,27911.49,"G3- Nivel Medio",32.81,50.68,-0.83666177065644,0.442413945246681
"05686",231052.39,39103.53,"G1- Nivel Alto",30.38,42.92,0.590283584095273,0.688792470220815
"05690",231052.39,13126.99,"G1- Nivel Alto",33.55,58.33,0.944303197185156,0.749918027548254
"05697",231052.39,38163.06,"G2- Nivel Medio Alto",20.48,87.92,-0.286854084836436,0.53734456483957
"05736",231052.39,40971.58,"G1- Nivel Alto",20.54,69.95,0.546849063788778,0.681293000804948
"05756",231052.39,38570.27,"G1- Nivel Alto",32.66,47.86,0.758294646779846,0.71780151227398
"05761",231052.39,16138.89,"G2- Nivel Medio Alto",25.45,51.84,-0.581113946807057,0.486537215763453
"05837",231052.39,134564.85,"G2- Nivel Medio Alto",34.73,97.2,0.458756439583131,0.666082796195071
"05847",231052.39,32188.7,"G3- Nivel Medio",29.93,44.53,-1.04761739959705,0.405990029978797
"05854",231052.39,14771.62,"G4- Nivel Medio Bajo",26.6,58.52,-1.23394322206039,0.373818734035163
"05893",231052.39,20778.15,"G1- Nivel Alto",47.79,61.27,1.60009736671959,0.863148432369639
"05895",231052.39,26256.43,"G1- Nivel Alto",28.85,33.7,0.394287262986147,0.654951451477931
"08001",70200.98,1334557.08,"Ciudades",49.57,63.88,1.19412685494549,0.793052954963427
"08078",70200.98,69795.05,"G2- Nivel Medio Alto",41.83,100,0.804541779118166,0.725786611501401
"08137",70200.98,25097.11,"G4- Nivel Medio Bajo",38.36,99.95,-0.142487655931202,0.562271088963995
"08141",70200.98,17782.8,"G5- Nivel Bajo",45.51,81.46,-0.671689973037278,0.470898223235597
"08296",70200.98,68644.16,"G1- Nivel Alto",47.52,99.18,2.12292576878015,0.95342076836717
"08372",70200.98,23620.95,"G4- Nivel Medio Bajo",38.74,65.04,-0.618274710520222,0.480120982569888
"08421",70200.98,31243,"G5- Nivel Bajo",23.6,100,-1.35554723634398,0.352822402556626
"08433",70200.98,143999.69,"G1- Nivel Alto",35.97,53.79,0.984699719609112,0.756892951693566
"08436",70200.98,21927.19,"G4- Nivel Medio Bajo",18.07,100,-1.01713717603219,0.411252791091396
"08520",70200.98,32415.33,"G2- Nivel Medio Alto",61.79,100,1.66565931455399,0.874468456607485
"08558",70200.98,20257.74,"G3- Nivel Medio",41.62,100,0.238762136891155,0.628098249961769
"08560",70200.98,26740.29,"G4- Nivel Medio Bajo",30.96,78.77,-0.760347358870082,0.455590506036189
"08573",70200.98,55511.66,"G1- Nivel Alto",65.75,99.2,2.90968933692173,1.08926454596988
"08634",70200.98,36349.87,"G1- Nivel Alto",48.28,100,2.16727463854356,0.961078110731539
